Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-06,COIN,Coinbase,Stock,7114926,Strong,Long,40.2%,XGB:0.64|LGB:0.70|LR:0.53|N:325|Base:0.30,Doji (十字星),38.36,51.48,174.79,11.36,152.07,22,3845
2026-04-02,MU,美光科技,Stock,50933285,Strong,Long,43.1%,XGB:0.42|LGB:0.40|LR:0.60|N:324|Base:0.42,Doji (十字星),39.23,12.53,366.24,27.81,310.62,8,2929
2026-04-01,MU,美光科技,Stock,73934765,Strong,Long,49.1%,XGB:0.61|LGB:0.64|LR:0.78|N:323|Base:0.42,Doji (十字星),25.53,13.32,367.85,27.82,312.21,8,2942
2026-04-01,PLTR,帕兰提尔,Stock,34056743,Strong,Long,35.8%,XGB:0.32|LGB:0.36|LR:0.53|N:323|Base:0.35,Doji (十字星),28.51,56.04,146.49,6.95,132.59,35,5127
2026-03-31,AMD,超威半导体,Stock,41370319,Strong,Long,41.1%,XGB:0.63|LGB:0.38|LR:0.63|N:322|Base:0.36,Doji (十字星),19.33,17.86,203.43,9.99,183.45,25,5085
2026-03-30,AMZN,亚马逊,Stock,42710345,Strong,Long,37.0%,XGB:0.54|LGB:0.47|LR:0.59|N:321|Base:0.31,Doji (十字星),3.47,1.61,200.95,5.7,189.55,43,8640
2026-03-30,META,元宇宙(Facebook),Stock,22495694,Strong,Long,30.0%,XGB:0.22|LGB:0.17|LR:0.46|N:321|Base:0.32,Doji (十字星),8.53,-5.88,536.38,19.71,496.96,12,6436
2026-03-27,MU,美光科技,Stock,45124891,Strong + AI_Bull,Long,53.6%,XGB:0.87|LGB:0.76|LR:0.79|N:320|Base:0.42,Doji (十字星),-16.7,9.39,357.22,25.58,306.06,9,3214
2026-03-26,HOOD,罗宾汉,Stock,21208826,Strong,Long,39.3%,XGB:0.55|LGB:0.48|LR:0.37|N:319|Base:0.35,Inverted Hammer (倒锤子线),22.31,1.13,70.35,4.3,61.75,58,4080
2026-03-25,QQQ,纳斯达克100指数ETF,Index ETF,58868432,Strong,Long,24.1%,XGB:0.03|LGB:0.03|LR:0.49|N:318|Base:0.21,"Doji (十字星), Doji (十字星), Doji (十字星), Doji (十字星)",24.96,-0.9,587.82,10.0,567.82,25,14695
